transaction_id,account_id,txn_type,amount,related_account_id,status,created_at
1,396,REFUND,29.92,,COMPLETED,2024-03-23 20:01:54
2,761,WITHDRAWAL,2454.97,,COMPLETED,2025-05-09 16:33:23
3,528,PAYMENT,901.72,,COMPLETED,2023-07-31 05:20:19
4,531,WITHDRAWAL,2942.4,,COMPLETED,2024-02-18 09:20:38
5,21,DEPOSIT,2091.08,,COMPLETED,2024-03-08 18:21:11
6,1,PAYMENT,1585.65,,PENDING,2024-05-12 02:34:29
7,754,WITHDRAWAL,1534.85,,COMPLETED,2024-10-24 18:11:09
8,797,WITHDRAWAL,1035.75,,COMPLETED,2024-10-18 19:55:21
9,981,DEPOSIT,2299.58,,COMPLETED,2025-04-05 10:08:18
10,734,TRANSFER,3597.46,433.0,COMPLETED,2024-01-17 10:17:46
11,142,DEPOSIT,3311.61,,COMPLETED,2023-03-11 10:39:20
12,423,PAYMENT,1929.22,,COMPLETED,2023-04-25 01:04:57
13,620,WITHDRAWAL,336.84,,COMPLETED,2023-01-13 04:58:54
14,586,DEPOSIT,3598.44,,COMPLETED,2024-04-10 20:46:07
15,135,DEPOSIT,1019.81,,COMPLETED,2023-04-19 20:15:22
16,468,DEPOSIT,4131.54,,COMPLETED,2023-06-26 20:11:35
17,405,DEPOSIT,2101.63,,PENDING,2025-02-18 07:05:10
18,798,TRANSFER,3872.12,535.0,COMPLETED,2023-04-12 20:14:36
19,698,REFUND,71.64,,COMPLETED,2025-03-04 09:51:10
20,630,TRANSFER,2788.47,515.0,COMPLETED,2024-03-19 16:26:53
21,575,PAYMENT,1564.35,,PENDING,2024-07-15 01:03:00
22,820,TRANSFER,3665.95,159.0,COMPLETED,2024-04-15 00:45:50
23,782,TRANSFER,4419.34,600.0,COMPLETED,2023-05-06 07:39:55
24,497,REFUND,458.38,,COMPLETED,2025-02-22 07:07:13
25,331,WITHDRAWAL,1041.72,,COMPLETED,2024-01-10 15:50:25
26,966,DEPOSIT,2093.09,,COMPLETED,2023-01-09 07:05:43
27,895,WITHDRAWAL,2532.36,,COMPLETED,2023-04-16 08:30:38
28,376,TRANSFER,4680.78,750.0,COMPLETED,2025-06-11 04:29:08
29,257,TRANSFER,1488.37,414.0,PENDING,2024-10-07 01:39:14
30,164,REFUND,326.79,,PENDING,2025-02-27 16:23:02
31,599,WITHDRAWAL,1917.89,,COMPLETED,2023-08-31 21:53:54
32,912,WITHDRAWAL,1451.5,,COMPLETED,2023-10-16 20:35:29
33,792,TRANSFER,3387.51,633.0,COMPLETED,2025-03-08 00:46:39
34,503,PAYMENT,1050.23,,COMPLETED,2024-05-20 04:10:42
35,178,DEPOSIT,330.19,,COMPLETED,2023-05-29 16:29:44
36,941,DEPOSIT,1468.75,,COMPLETED,2023-09-18 00:23:29
37,84,TRANSFER,1510.95,903.0,COMPLETED,2024-09-05 18:45:12
38,428,PAYMENT,213.94,,COMPLETED,2024-12-20 07:42:23
39,884,TRANSFER,1160.32,766.0,COMPLETED,2025-05-02 23:42:29
40,292,WITHDRAWAL,2394.56,,COMPLETED,2023-11-29 15:25:52
41,821,TRANSFER,4636.1,460.0,COMPLETED,2024-06-25 15:33:01
42,945,REFUND,159.76,,COMPLETED,2024-02-28 00:15:15
43,16,TRANSFER,1055.28,935.0,COMPLETED,2023-07-08 17:06:38
44,527,PAYMENT,1823.86,,COMPLETED,2023-10-23 20:07:47
45,767,WITHDRAWAL,1773.39,,COMPLETED,2024-10-31 02:25:05
46,242,PAYMENT,1928.94,,COMPLETED,2025-06-11 13:59:43
47,216,REFUND,41.86,,PENDING,2025-04-11 08:18:24
48,879,WITHDRAWAL,1144.05,,COMPLETED,2023-05-28 03:46:42
49,660,DEPOSIT,846.6,,COMPLETED,2024-10-02 17:06:39
50,6,WITHDRAWAL,2134.87,,COMPLETED,2024-02-29 14:06:34
51,187,PAYMENT,1197.79,,COMPLETED,2023-10-12 15:33:48
52,741,TRANSFER,3326.36,584.0,COMPLETED,2023-06-10 14:04:16
53,652,WITHDRAWAL,2356.41,,COMPLETED,2024-02-26 13:29:27
54,269,REFUND,262.7,,COMPLETED,2025-06-09 00:08:42
55,193,WITHDRAWAL,1620.37,,COMPLETED,2023-01-06 00:28:28
56,270,PAYMENT,1330.04,,COMPLETED,2024-09-20 12:17:43
57,353,DEPOSIT,3775.65,,COMPLETED,2023-06-28 13:03:04
58,666,PAYMENT,1962.46,,COMPLETED,2023-03-26 02:06:14
59,794,WITHDRAWAL,736.24,,COMPLETED,2024-02-15 21:35:46
60,736,DEPOSIT,247.39,,COMPLETED,2023-03-26 20:44:31
61,454,PAYMENT,1890.53,,COMPLETED,2024-07-13 23:24:51
62,641,TRANSFER,172.29,615.0,COMPLETED,2024-06-16 15:08:55
63,447,WITHDRAWAL,1536.03,,COMPLETED,2023-03-01 19:51:54
64,357,PAYMENT,393.1,,COMPLETED,2024-07-24 03:55:52
65,123,DEPOSIT,4783.57,,COMPLETED,2025-03-02 11:24:42
66,8,TRANSFER,1093.37,746.0,COMPLETED,2023-11-06 01:57:53
67,812,WITHDRAWAL,329.7,,COMPLETED,2023-01-13 15:50:25
68,833,PAYMENT,1485.34,,COMPLETED,2023-06-22 14:32:41
69,981,PAYMENT,1496.31,,COMPLETED,2023-09-12 15:10:10
70,547,TRANSFER,237.54,97.0,COMPLETED,2025-03-27 17:07:35
71,954,DEPOSIT,398.69,,COMPLETED,2024-01-17 20:15:58
72,314,WITHDRAWAL,1364.35,,COMPLETED,2024-10-15 11:21:51
73,379,DEPOSIT,3382.83,,COMPLETED,2023-11-26 01:52:38
74,759,TRANSFER,363.03,893.0,COMPLETED,2024-11-18 05:19:40
75,830,PAYMENT,721.82,,COMPLETED,2025-04-17 03:21:27
76,348,PAYMENT,609.69,,COMPLETED,2024-05-17 18:09:31
77,916,PAYMENT,769.01,,COMPLETED,2024-07-28 20:57:09
78,41,WITHDRAWAL,1609.73,,COMPLETED,2023-07-01 12:27:17
79,465,PAYMENT,1700.44,,COMPLETED,2024-06-15 00:06:42
80,751,DEPOSIT,3402.58,,PENDING,2023-04-03 06:24:07
81,955,PAYMENT,1299.4,,PENDING,2023-07-13 22:21:26
82,14,TRANSFER,2797.6,155.0,COMPLETED,2023-06-09 18:42:23
83,678,TRANSFER,2708.9,109.0,COMPLETED,2024-05-20 00:56:22
84,895,TRANSFER,3643.39,259.0,COMPLETED,2023-04-24 12:38:40
85,765,PAYMENT,293.49,,COMPLETED,2024-04-12 23:55:19
86,731,PAYMENT,396.71,,COMPLETED,2024-07-31 18:25:37
87,959,TRANSFER,319.22,898.0,PENDING,2023-12-10 02:52:54
88,651,WITHDRAWAL,1658.0,,COMPLETED,2024-05-30 18:54:01
89,90,DEPOSIT,1027.22,,COMPLETED,2025-02-03 15:31:05
90,396,WITHDRAWAL,2020.46,,COMPLETED,2024-06-25 21:05:09
91,343,TRANSFER,4505.59,382.0,COMPLETED,2025-05-16 03:01:57
92,393,TRANSFER,1563.09,694.0,COMPLETED,2024-10-22 14:09:28
93,672,WITHDRAWAL,962.67,,COMPLETED,2024-07-05 20:02:17
94,5,WITHDRAWAL,2361.27,,COMPLETED,2025-03-25 16:04:35
95,759,WITHDRAWAL,2523.53,,COMPLETED,2023-07-07 12:55:53
96,875,WITHDRAWAL,1450.26,,COMPLETED,2023-01-03 09:25:57
97,927,WITHDRAWAL,1663.98,,COMPLETED,2023-07-27 17:17:40
98,720,DEPOSIT,1439.05,,COMPLETED,2023-07-13 22:24:00
99,639,DEPOSIT,3681.05,,COMPLETED,2025-04-12 20:58:52
100,868,DEPOSIT,142.22,,COMPLETED,2024-07-04 23:19:08
101,41,PAYMENT,1162.01,,COMPLETED,2023-05-09 10:14:23
102,260,PAYMENT,1107.67,,COMPLETED,2024-03-02 00:22:40
103,640,WITHDRAWAL,2330.09,,COMPLETED,2023-01-01 05:18:31
104,272,PAYMENT,1183.31,,COMPLETED,2023-03-11 16:44:27
105,167,WITHDRAWAL,1541.03,,COMPLETED,2025-05-18 23:29:01
106,598,DEPOSIT,1232.46,,PENDING,2023-05-03 17:30:31
107,728,TRANSFER,3798.17,173.0,COMPLETED,2024-12-24 06:46:05
108,218,TRANSFER,2850.77,179.0,COMPLETED,2024-01-17 03:55:29
109,576,PAYMENT,90.44,,COMPLETED,2024-02-27 15:12:06
110,283,DEPOSIT,1878.7,,COMPLETED,2023-09-29 02:12:50
111,254,WITHDRAWAL,2378.55,,COMPLETED,2024-11-11 23:11:58
